Gene;alias
A1BG-AS1;NCRNA00181
A1BG-AS1;A1BGAS
A1BG-AS1;A1BG-AS
A1BG-AS1;FLJ23569
A1CF;ACF
A1CF;ASP
A1CF;ACF64
A1CF;ACF65
A1CF;APOBEC1CF
A2M;FWP007
A2M;S863-7
A2M;CPAMD5
A2ML1;CPAMD9
A2ML1;FLJ25179
A2ML1;p170
A2MP1;A2MP
A3GALT2;A3GALT2P
A3GALT2;IGBS3S
A3GALT2;IGB3S
A4GALT;A14GALT
A4GALT;Gb3S
A4GALT;P(k)
A4GALT;P1
A4GNT;alpha4GnT
AACS;FLJ12389e
AACS;SUR-5
AACS;ACSF1
AACSP1;AACSL
AADAC;DAC
AADAC;CES5A1
AADACL2;MGC72001
AADACL3;OTTHUMG00000001887
AADACL4;OTTHUMG00000001889
AADAT;KATII
AADAT;KAT2
AADAT;KYAT2
AAED1;C9orf21
AAGAB;FLJ11506
AAGAB;p34
AAK1;KIAA1048
AAK1;DKFZp686K16132
AAMDC;C11orf67
AAMDC;PTD015
AAMDC;FLJ21035
AAMDC;CK067
AANAT;SNAT
AAR2;C20orf4
AAR2;bA234K24.2
AARD;C8orf85
AARD;LOC441376
AARS;CMT2N
AARS;AlaRS
AARS2;AARSL
AARS2;KIAA1270
AARS2;bA444E17.1
AARSD1;MGC2744
AASDH;NRPS998
AASDH;LYS2
AASDH;ACSF4
AASDHPPT;LYS5
AASDHPPT;CGI-80
AASDHPPT;AASD-PPT
AASDHPPT;ACPS
AASS;LORSDH
AASS;LKRSDH
AATF;DED
AATF;CHE-1
AATF;CHE1
AATF;BFR2
AATK;AATYK
AATK;KIAA0641
AATK;LMTK1
AATK;LMR1
AATK;AATYK1
AATK;PPP1R77
AAVS1;AAV
ABALON;INXS
ABAT;GABAT
ABCA1;ABC1
ABCA1;HDLDT1
ABCA1;TGD
ABCA2;ABC2
ABCA3;ABC3
ABCA3;ABC-C
ABCA3;EST111653
ABCA3;LBM180
ABCA4;STGD1
ABCA4;ABCR
ABCA4;RP19
ABCA4;STGD
ABCA4;FFM
ABCA4;ARMD2
ABCA4;CORD3
ABCA5;EST90625
ABCA6;EST155051
ABCA7;ABCX
ABCA8;KIAA0822
ABCA9;EST640918
ABCA10;EST698739
ABCA11P;ABCA11
ABCA11P;EST1133530
ABCA11P;FLJ14297
ABCA12;ICR2B
ABCA12;DKFZP434G232
ABCA12;LI2
ABCA13;FLJ33876
ABCA13;FLJ33951
ABCB1;PGY1
ABCB1;MDR1
ABCB1;CLCS
ABCB1;P-gp
ABCB1;CD243
ABCB1;GP170
ABCB1;ABC20
ABCB4;PGY3
ABCB4;MDR3
ABCB4;MDR2
ABCB4;PFIC-3
ABCB4;GBD1
ABCB5;EST422562
ABCB5;ABCB5beta
ABCB5;ABCB5alpha
ABCB6;EST45597
ABCB6;umat
ABCB6;MTABC3
ABCB7;ABC7
ABCB7;EST140535
ABCB7;Atm1p
ABCB7;ASAT
ABCB8;EST328128
ABCB8;M-ABC1
ABCB8;MABC1
ABCB9;EST122234
ABCB10;EST20237
ABCB10;M-ABC2
ABCB10;MTABC2
ABCB10P1;ABCB10P
ABCB10P1;ABCB10P2
ABCB10P1;M-ABC2
ABCB10P1;MABC2
ABCB11;BSEP
ABCB11;PFIC2
ABCB11;ABC16
ABCB11;SPGP
ABCB11;PFIC-2
ABCB11;PGY4
ABCC1;MRP
ABCC1;MRP1
ABCC1;GS-X
ABCC2;CMOAT
ABCC2;DJS
ABCC2;MRP2
ABCC2;cMRP
ABCC3;MRP3
ABCC3;cMOAT2
ABCC3;EST90757
ABCC3;MLP2
ABCC3;MOAT-D
ABCC4;MRP4
ABCC4;EST170205
ABCC4;MOAT-B
ABCC4;MOATB
ABCC5;MRP5
ABCC5;SMRP
ABCC5;EST277145
ABCC5;MOAT-C
ABCC6;ARA
ABCC6;PXE
ABCC6;MRP6
ABCC6;EST349056
ABCC6;MLP1
ABCC6;URG7
ABCC8;SUR
ABCC8;HRINS
ABCC8;HI
ABCC8;PHHI
ABCC8;SUR1
ABCC8;MRP8
ABCC8;ABC36
ABCC8;HHF1
ABCC8;TNDM2
ABCC9;SUR2
ABCC9;CMD1O
ABCC10;EST182763
ABCC10;MRP7
ABCC10;SIMRP7
ABCC11;MRP8
ABCC12;MRP9
ABCC13;PRED6
ABCC13;C21orf73
ABCC13;ABCC13P
ABCD1;ALD
ABCD1;AMN
ABCD1;ALDP
ABCD1;adrenoleukodystrophy
ABCD1P2;bA453N3.6
ABCD2;ALDL1
ABCD2;ALDR
ABCD2;ALDRP
ABCD3;PXMP1
ABCD3;PMP70
ABCD3;ZWS2
ABCD4;PXMP1L
ABCD4;PMP69
ABCD4;P70R
ABCD4;EST352188
ABCE1;RNASEL1
ABCE1;RNASELI
ABCE1;RNS4I
ABCE1;RLI
ABCE1;OABP
ABCE1;RLI1
ABCF1;ABC50
ABCF1;EST123147
ABCF2;EST133090
ABCF2;ABC28
ABCF2;M-ABC1
ABCF2;HUSSY-18
